iter	Passed	Remaining
0	4	4906
1	8	4117
2	11	3894
3	15	3803
4	20	4139
5	24	4029
6	27	3936
7	41	5097
8	44	4935
9	48	4758
10	51	4612
11	54	4502
12	58	4406
13	62	4420
14	66	4388
15	71	4370
16	75	4360
17	79	4315
18	83	4303
19	87	4281
20	90	4240
21	99	4416
22	103	4386
23	113	4631
24	117	4572
25	120	4514
26	123	4468
27	127	4419
28	130	4374
29	134	4337
30	137	4305
31	141	4269
32	158	4650
33	162	4604
34	165	4566
35	168	4523
36	172	4494
37	176	4458
38	179	4424
39	188	4521
40	191	4489
41	203	4630
42	218	4863
43	221	4820
44	225	4776
45	228	4733
46	231	4698
47	235	4661
48	238	4627
49	241	4590
50	245	4560
51	248	4526
52	251	4497
53	255	4468
54	272	4684
55	275	4649
56	293	4856
57	296	4819
58	309	4932
59	312	4896
60	315	4858
61	324	4902
62	327	4868
63	330	4834
64	338	4875
65	342	4842
66	345	4811
67	348	4780
68	352	4753
69	355	4724
70	359	4697
71	362	4669
72	367	4667
73	370	4640
74	374	4616
75	377	4587
76	380	4563
77	384	4542
78	387	4518
79	390	4495
80	394	4475
81	397	4449
82	401	4431
83	403	4404
84	407	4383
85	410	4363
86	414	4346
87	416	4320
88	419	4295
89	422	4271
90	425	4247
91	428	4226
92	443	4322
93	458	4418
94	461	4394
95	464	4370
96	466	4345
97	469	4321
98	472	4301
99	475	4278
100	478	4256
101	487	4290
102	489	4266
103	503	4334
104	517	4414
105	520	4390
106	523	4366
107	525	4344
108	528	4322
109	531	4300
110	534	4277
111	536	4255
112	539	4235
113	542	4214
114	545	4195
115	548	4176
116	550	4156
117	553	4140
118	556	4122
119	559	4103
120	562	4085
121	565	4067
122	568	4050
123	571	4034
124	573	4017
125	576	4001
126	579	3984
127	582	3967
128	585	3954
129	588	3939
130	591	3924
131	594	3911
132	597	3895
133	600	3880
134	603	3865
135	606	3851
136	608	3836
137	611	3821
138	615	3810
139	618	3800
140	621	3789
141	625	3781
142	629	3775
143	633	3766
144	637	3756
145	648	3791
146	651	3780
147	654	3769
148	657	3755
149	662	3755
150	665	3742
151	668	3729
152	671	3717
153	674	3704
154	677	3692
155	680	3679
156	682	3666
157	685	3654
158	688	3641
159	691	3629
160	694	3617
161	697	3606
162	707	3631
163	709	3618
164	712	3606
165	715	3594
166	718	3583
167	721	3571
168	723	3559
169	726	3547
170	729	3535
171	732	3524
172	735	3514
173	738	3503
174	740	3492
175	743	3481
176	746	3470
177	749	3460
178	752	3449
179	754	3438
180	780	3532
181	783	3520
182	786	3510
183	789	3500
184	791	3489
185	794	3478
186	797	3468
187	800	3458
188	803	3447
189	806	3436
190	809	3426
191	812	3418
192	815	3407
193	818	3398
194	820	3388
195	823	3379
196	826	3369
197	829	3359
198	832	3350
199	835	3340
200	838	3331
201	841	3322
202	843	3313
203	846	3303
204	859	3333
205	863	3326
206	865	3316
207	868	3307
208	871	3298
209	874	3289
210	877	3280
211	880	3272
212	883	3263
213	886	3254
214	888	3245
215	892	3237
216	894	3228
217	897	3220
218	900	3212
219	903	3204
220	906	3195
221	909	3188
222	912	3180
223	916	3174
224	919	3165
225	921	3157
226	934	3180
227	936	3171
228	939	3162
229	942	3154
230	944	3145
231	947	3137
232	950	3129
233	953	3121
234	956	3112
235	959	3105
236	962	3097
237	964	3089
238	967	3081
239	970	3073
240	973	3067
241	977	3061
242	980	3054
243	983	3046
244	986	3038
245	989	3031
246	991	3023
247	994	3016
248	997	3009
249	1000	3001
250	1003	2993
251	1012	3004
252	1014	2996
253	1017	2989
254	1020	2981
255	1023	2974
256	1032	2985
257	1035	2978
258	1052	3010
259	1055	3003
260	1057	2995
261	1060	2987
262	1063	2980
263	1066	2973
264	1069	2966
265	1072	2958
266	1075	2951
267	1077	2943
268	1080	2936
269	1083	2930
270	1086	2923
271	1089	2915
272	1092	2908
273	1094	2901
274	1097	2894
275	1100	2887
276	1103	2880
277	1106	2873
278	1109	2866
279	1112	2859
280	1114	2852
281	1117	2846
282	1120	2839
283	1123	2832
284	1126	2826
285	1129	2819
286	1132	2812
287	1135	2806
288	1138	2799
289	1140	2793
290	1156	2818
291	1159	2811
292	1162	2804
293	1165	2798
294	1168	2791
295	1171	2785
296	1174	2779
297	1176	2772
298	1179	2766
299	1182	2759
300	1186	2754
301	1189	2748
302	1191	2741
303	1194	2735
304	1197	2728
305	1200	2722
306	1203	2715
307	1205	2709
308	1208	2702
309	1211	2696
310	1214	2690
311	1217	2684
312	1233	2708
313	1236	2701
314	1239	2695
315	1242	2689
316	1245	2683
317	1248	2676
318	1250	2670
319	1253	2663
320	1256	2657
321	1259	2651
322	1262	2645
323	1277	2666
324	1280	2660
325	1284	2654
326	1287	2649
327	1290	2644
328	1293	2638
329	1296	2632
330	1299	2626
331	1303	2621
332	1306	2616
333	1309	2610
334	1331	2643
335	1334	2637
336	1337	2631
337	1340	2625
338	1343	2618
339	1345	2612
340	1348	2606
341	1360	2617
342	1363	2610
343	1365	2604
344	1368	2598
345	1375	2600
346	1378	2594
347	1381	2588
348	1384	2581
349	1386	2575
350	1389	2569
351	1406	2589
352	1409	2583
353	1412	2576
354	1414	2570
355	1417	2564
356	1420	2559
357	1423	2553
358	1426	2547
359	1429	2541
360	1432	2536
361	1435	2530
362	1438	2524
363	1441	2518
364	1444	2512
365	1447	2506
366	1449	2500
367	1452	2495
368	1455	2489
369	1458	2483
370	1478	2506
371	1481	2501
372	1484	2495
373	1487	2489
374	1490	2483
375	1492	2477
376	1495	2471
377	1527	2513
378	1530	2507
379	1533	2501
380	1536	2495
381	1538	2489
382	1541	2483
383	1544	2477
384	1547	2471
385	1550	2465
386	1552	2459
387	1555	2454
388	1558	2448
389	1561	2442
390	1564	2436
391	1567	2430
392	1569	2424
393	1572	2418
394	1575	2412
395	1578	2407
396	1581	2401
397	1583	2395
398	1586	2390
399	1601	2401
400	1603	2395
401	1606	2390
402	1609	2384
403	1612	2378
404	1615	2373
405	1618	2367
406	1631	2377
407	1634	2371
408	1637	2366
409	1640	2360
410	1660	2379
411	1663	2374
412	1666	2368
413	1669	2362
414	1672	2356
415	1675	2351
416	1677	2345
417	1690	2353
418	1693	2348
419	1696	2342
420	1698	2336
421	1706	2337
422	1709	2332
423	1712	2326
424	1715	2320
425	1718	2314
426	1727	2317
427	1730	2312
428	1732	2306
429	1735	2300
430	1738	2294
431	1741	2289
432	1744	2283
433	1746	2278
434	1749	2272
435	1752	2267
436	1755	2261
437	1758	2256
438	1761	2250
439	1764	2245
440	1766	2239
441	1769	2234
442	1772	2228
443	1775	2223
444	1778	2217
445	1780	2212
446	1784	2207
447	1786	2201
448	1789	2196
449	1792	2191
450	1795	2185
451	1798	2180
452	1801	2174
453	1803	2169
454	1806	2164
455	1809	2158
456	1812	2153
457	1815	2148
458	1818	2143
459	1821	2138
460	1824	2132
461	1826	2127
462	1829	2122
463	1832	2116
464	1835	2112
465	1838	2107
466	1841	2101
467	1844	2096
468	1847	2091
469	1850	2086
470	1854	2082
471	1856	2077
472	1859	2071
473	1862	2066
474	1865	2061
475	1868	2056
476	1870	2051
477	1914	2090
478	1917	2085
479	1920	2080
480	1922	2074
481	1925	2069
482	1928	2064
483	1931	2058
484	1934	2053
485	1936	2048
486	1939	2043
487	1942	2038
488	1945	2033
489	1959	2039
490	1962	2034
491	1965	2029
492	1968	2024
493	1971	2019
494	1974	2014
495	1976	2008
496	1979	2003
497	1982	1998
498	1985	1993
499	2008	2008
500	2011	2003
501	2014	1998
502	2017	1993
503	2020	1988
504	2023	1983
505	2026	1978
506	2038	1982
507	2041	1977
508	2044	1971
509	2046	1966
510	2053	1965
511	2056	1959
512	2058	1954
513	2061	1949
514	2064	1944
515	2068	1939
516	2083	1946
517	2087	1942
518	2091	1938
519	2094	1933
520	2098	1929
521	2102	1925
522	2106	1920
523	2109	1916
524	2128	1926
525	2143	1931
526	2146	1926
527	2149	1921
528	2151	1915
529	2154	1910
530	2157	1905
531	2160	1900
532	2174	1905
533	2177	1899
534	2179	1894
535	2203	1907
536	2205	1901
537	2208	1896
538	2211	1891
539	2214	1886
540	2217	1881
541	2220	1876
542	2223	1871
543	2226	1866
544	2229	1861
545	2250	1871
546	2253	1866
547	2256	1860
548	2258	1855
549	2262	1850
550	2264	1845
551	2267	1840
552	2270	1835
553	2273	1830
554	2290	1836
555	2293	1831
556	2297	1827
557	2300	1821
558	2302	1816
559	2305	1811
560	2308	1806
561	2311	1801
562	2314	1796
563	2317	1791
564	2320	1786
565	2323	1781
566	2325	1776
567	2342	1781
568	2344	1776
569	2347	1771
570	2350	1765
571	2353	1760
572	2356	1755
573	2358	1750
574	2361	1745
575	2364	1740
576	2367	1735
577	2386	1742
578	2389	1737
579	2392	1732
580	2395	1727
581	2398	1722
582	2401	1717
583	2404	1712
584	2406	1707
585	2409	1702
586	2412	1697
587	2415	1692
588	2418	1687
589	2421	1682
590	2424	1678
591	2443	1683
592	2446	1678
593	2448	1673
594	2451	1668
595	2454	1663
596	2457	1658
597	2460	1653
598	2463	1648
599	2466	1644
600	2468	1639
601	2477	1637
602	2480	1632
603	2483	1628
604	2485	1623
605	2488	1618
606	2492	1613
607	2495	1608
608	2506	1609
609	2509	1604
610	2522	1605
611	2525	1601
612	2528	1596
613	2531	1591
614	2534	1586
615	2537	1581
616	2539	1576
617	2542	1571
618	2551	1570
619	2554	1565
620	2557	1560
621	2560	1556
622	2563	1551
623	2566	1546
624	2569	1541
625	2572	1536
626	2574	1531
627	2577	1526
628	2580	1522
629	2583	1517
630	2598	1519
631	2600	1514
632	2603	1509
633	2606	1504
634	2609	1499
635	2612	1495
636	2615	1490
637	2618	1485
638	2620	1480
639	2623	1475
640	2642	1480
641	2645	1475
642	2648	1470
